#  Timestep    No_Moles    No_Specs  O1296Si648
          5           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         10           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         15           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         20           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         25           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         30           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         35           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         40           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         45           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         50           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         55           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         60           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         65           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         70           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         75           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         80           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         85           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         90           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
         95           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        100           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        105           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        110           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        115           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        120           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        125           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        130           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        135           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        140           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        145           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        150           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        155           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        160           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        165           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        170           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        175           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        180           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        185           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
        190           1           1           1
#  Timestep    No_Moles    No_Specs  O1296Si648
